author,birthyr,date,docid,firstpub,gender,imprint,numwords,originalid,selectedby,source,title
"Steele, Danielle",1947,1988,SteeDZ,1988,f,,134345,00022982.txt,pubweek,chicago,Zoya
"Frost, Mark",1953,1993,FrosMT,1993,m,New York: Morrow,135918,00023918.txt,random,chicagorandom,The list of 7
"Proulx, Annie",1935,1993,ProuASN,1993,f,,108347,00023963.txt,pulitzer,chicago,The Shipping News
"Grisham, John",1955,1996,GrisJR,1996,m,New York: Doubleday,136200,00024330.txt,pubweek,chicago,The runaway jury
"Wallace, David Foster",1962,1996,WallDIJ,1996,m,,541791,00025732.txt,Time2005,chicago,Infinite Jest
"Johnson, Samuel,",,1866,mdp.39015066053763,1781,m,Philadelphia;J. B. Lippincott & co.;1866.,282000,,biog,hathi,Lives of the most eminent English poets
"Boswell, James,",,1887,boswelljohnson,1791,m,Oxford;Clarendon Press;New York;Macmillan and co.;1887.,212000,,biog,other,Boswell's Life of Johnson
"Franklin, Benjamin,",,1892,uc2.ark:/13960/fk20c4sr5s,1790,m,"New York;Maynard, Merrill & co.;c1892",200000,,biog,hathi,The autobiography of Benjamin Franklin. (Complete.)
"Blakiston, John,",,1829,yale.39002030972153,1829,m,New York;E. Bliss;1829.,200000,,biog,hathi,"Twelve years' military adventure in three quarters of the globe or, Memoirs of an officer who served in the armies of His Majesty and of the East India Company, between the years 1802 and 1814"
"Sherman, William T.",,1876,uc1.b61032,1876,m,New York;D. Appleton;1876.,200000,,biog,hathi,Memoirs of General William T. Sherman
"Browne, Francis F.",,1913,everydaylifeoflincoln,1913,m,,192500,,biog,other,The every-day life of Abraham Lincoln
"McCullough, David",,2001,mcculloughjohnadams,2001,m,,92500,,biog,other,John Adams
"Northup, Solomon",,1853,twelveyearsaslave,1853,m,,76620,,biog,other,Twelve Years a Slave
"Shorter, Clement King,",,1905,uc1.b3579129,1905,m,New York;Scribner;1905.,200000,,biog,hathi,Charlotte Bront�� and her sisters
"Reresby, John,",,1734,njp.32101067407930,1734,m,London;1734.,79415,,biog,hathi,"The memoirs of the honourable Sir John Reresby, baronet and last governor of York"
